Microsoft,https://purepng.com/public/uploads/large/purepng.com-microsoft-logo-iconlogobrand-logoiconslogos-251519939091wmudn.png
Python,https://brandslogos.com/wp-content/uploads/images/large/python-logo-vector.svg
AcerIncorporated,https://upload.wikimedia.org/wikipedia/commons/0/00/Acer_2011.svg
JetBrains,https://upload.wikimedia.org/wikipedia/commons/6/6c/Cib-jetbrains_%28CoreUI_Icons_v1.0.0%29.svg
Steam,https://www.thepresequel.com/img/steam.png
Wondershare,https://blitzhandel24.imgbolt.de/media/image/31/g0/80/Unbenannt-6RXoyAGQeSqp4l.png
BellSoft,https://www.tadviser.ru/images/2/24/Bellsoft-logo.png
Tencent,https://www.computerhope.com/comp/logos/tencent.png
RiotGames,https://upload.wikimedia.org/wikipedia/en/5/5b/Riot_Games_2022.svg
Google,https://cdn.icon-icons.com/icons2/729/PNG/512/google_icon-icons.com_62736.png
Amazon,https://companieslogo.com/img/orig/AMZN-e9f942e4.png?t=1632523695
KDE,https://kde.org/stuff/clipart/logo/kde-logo-blue-transparent-source.svg
Logitech,https://blinkmypc.it/web/app/uploads/2018/12/logitech-logo.png
Huawei,https://images.glints.com/unsafe/360x0/glints-dashboard.s3.amazonaws.com/company-logo/92445188b085fb8186be10d07d77f343.png
ByteDance,https://seeklogo.com/images/B/bytedance-logo-3245925843-seeklogo.com.png
GnuWin32,https://agrtech.com.au/wp-content/uploads/2016/06/gerwinski-gnu-head-350x350.png.webp
DJI,https://s13emagst.akamaized.net/storage/brands/6/5967/images/res_2ba8f948faf25a09b2ed4b80de013fcd.png
Samsung,https://pngimg.com/uploads/samsung_logo/samsung_logo_PNG5.png
Oracle,https://creazilla-store.fra1.digitaloceanspaces.com/icons/3236928/oracle-icon-md.png
Lenovo,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Lenovo.png
Nvidia,https://datafromsky.com/wp-content/uploads/2020/02/nvidia-logo.png
GNU,https://agrtech.com.au/wp-content/uploads/2016/06/gerwinski-gnu-head-350x350.png.webp
Azul,https://upload.wikimedia.org/wikipedia/en/6/66/Azul_systems_logo.png